ANO_VENCIMENTO,MES_VENCIMENTO,TRIMESTRE,VALOR_FATURA_lag1,VALOR_FATURA_lag2
2023,8,3,30.83,41.05
2024,1,1,136.06,53.63
2024,10,4,766.56,743.93
2022,9,3,48.71,55.22
2023,2,1,810.9,810.44
2022,7,3,3192.84,968.97
2024,6,2,58651.67,55783.8
2023,3,1,1158.1,1149.51
2023,5,2,1696.25,1336.34
2024,4,2,15591.71,8003.55
2023,5,2,16732.3,9966.19
2024,5,2,32.12,32.12
2022,9,3,1527.26,1458.47
2022,8,3,1349.18,1249.42
2022,7,3,42.18,2494.33
2024,11,4,313.95,265.35
2023,2,1,17.94,17.94
2023,3,1,6037.74,5594.57
2022,11,4,42.94,35.46
2022,6,2,48.71,74.77
2024,8,3,6046.01,6470.55
2022,8,3,271.89,189.53
2023,4,2,143.21,72.55
2024,5,2,3575.79,4387.14
2024,4,2,1045.83,2153.14
2022,4,2,74.95,68.71
2023,11,4,1728.72,1198.23
2022,5,2,94.25,42.22
2024,11,4,48.46,55.87
2022,12,4,113.89,74.85
2022,12,4,279.94,28.28
2023,5,2,6632.74,5299.06
2023,6,2,817.89,817.86
2024,3,1,26.7,30.83
2023,11,4,1751.69,2680.09
2023,1,1,17.94,17.94
2023,8,3,69.16,82.95
2023,2,1,2473.81,2194.04
2022,8,3,71.0,124.25
2023,8,3,46.47,131.64
2024,12,4,1068.01,882.38
2023,6,2,9690.09,21720.5
2024,2,1,3606.69,2502.54
2023,4,2,391.03,263.5
2024,7,3,8131.15,8765.44
2023,1,1,628.09,1369.53
2023,3,1,28.0,28.0
2024,11,4,579.61,580.01
2024,10,4,3305.74,3533.65
2022,6,2,25.4,626.08
2023,7,3,48.8,109.23
2024,10,4,98.88,90.18
2023,11,4,6601.74,7345.9
2024,4,2,33441.21,31855.94
2024,6,2,90.14,107.51
2023,2,1,28.0,31.74
2024,4,2,3025.22,4006.2
2022,4,2,1249.76,1891.39
2024,7,3,903.45,1595.59
2024,9,3,32.15,32.15
2024,12,4,9142.09,7498.09
2023,11,4,5691.98,6408.79
2024,10,4,55.92,48.46
2022,6,2,24.24,28.04
2023,8,3,237.48,219.13
2022,9,3,136.68,113.88
2023,4,2,1176.53,907.87
2023,10,4,445.56,427.02
2023,11,4,536.44,510.35
2023,5,2,1338.65,1231.74
2023,2,1,42.2,61.71
2022,9,3,2854.95,2654.4
2023,11,4,2059.2,1926.04
2022,9,3,948.27,1007.94
2023,11,4,165.11,184.34
2024,12,4,514.22,7825.5
2023,10,4,120.27,213.9
2023,7,3,152.37,161.14
2023,5,2,1443.58,16.13
2024,5,2,119.43,85.25
2024,8,3,834.97,400.16
2022,11,4,24.26,24.24
2023,12,4,573.48,483.05
2022,7,3,354.12,288.69
2024,9,3,142.01,131.05
2024,9,3,1065.25,617.1
2023,6,2,50.21,42.86
2023,1,1,35.52,35.52
2023,12,4,3606.76,3696.59
2022,8,3,24.24,24.26
2023,6,2,4301.32,4137.8
2022,7,3,1470.22,1470.39
2023,10,4,31.55,26.7
2023,5,2,32.39,32.39
2024,2,1,4625.43,6755.52
2023,11,4,138.06,105.56
2022,6,2,42.18,42.18
2024,4,2,233.06,77.44
2023,5,2,6548.42,33420.14
2022,5,2,24.24,24.24
2022,10,4,349.16,327.95
2023,9,3,30.83,30.84
2023,10,4,334.81,47.28
2024,5,2,1340.71,2275.13
2022,9,3,175.89,204.05
2023,6,2,563.45,747.88
2023,11,4,10057.38,15132.41
2024,6,2,32.12,36.41
2024,6,2,1270.71,1409.39
2022,9,3,84.7,74.91
2024,10,4,19852.12,15131.62
2024,8,3,32.11,746.63
2024,9,3,2172.66,3533.61
2024,12,4,6936.36,17252.78
2023,5,2,5157.4,3152.02
2023,12,4,1396.72,1419.08
2024,2,1,329.64,360.97
2024,12,4,2607.37,1018.39
2022,5,2,176.43,123.9
2024,11,4,45.33,28.03
2024,5,2,2238.91,2161.9
2024,6,2,32.11,32.12
2024,4,2,1274.32,4846.02
2022,10,4,1048.98,1068.26
2023,12,4,790.28,689.23
2024,2,1,39.09,39.11
2022,7,3,5928.82,5267.69
2023,6,2,117.37,143.55
2022,5,2,43.02,35.5
2023,4,2,62.67,55.22
2023,8,3,888.65,956.68
2022,7,3,59.83,86.27
2022,7,3,687.14,626.93
2023,10,4,61.98,46.52
2023,7,3,20.76,20.76
2022,8,3,202.72,202.79
2023,7,3,98.04,158.31
2023,3,1,2997.39,2281.0
2023,2,1,136.88,114.18
2023,7,3,10098.51,9553.9
2024,3,1,4305.46,3873.35
2024,2,1,48.41,5117.99
2022,7,3,42.18,42.18
2023,2,1,42.22,42.22
2024,11,4,120.41,132.29
2024,2,1,26.69,26.69
2023,6,2,4419.43,1281.54
2024,11,4,2866.46,2084.59
2022,6,2,24.24,27.98
2023,7,3,3000.46,2490.23
2024,4,2,310.47,339.32
2023,5,2,219.31,109.49
2024,7,3,94.84,85.76
2022,4,2,176.66,150.33
2023,3,1,2046.4,3319.56
2022,5,2,4008.12,2515.83
2022,5,2,4314.17,1692.57
2023,3,1,51.31,54.16
2024,12,4,336.06,697.44
2024,9,3,27.9,27.89
2023,3,1,108.91,123.75
2023,9,3,60.82,60.82
2022,7,3,440.35,509.5
2022,8,3,1691.09,1952.36
2024,9,3,3528.34,5953.24
2024,4,2,1363.9,1963.14
2024,9,3,32.15,32.15
2024,4,2,32.14,30.96
2022,8,3,1007.96,1349.2
2024,4,2,119.34,54.82
2024,4,2,2607.4,1958.07
2022,6,2,271.73,163.3
2024,5,2,27.9,27.89
2024,3,1,6235.9,4546.49
2024,5,2,32.12,32.19
2022,6,2,1631.36,1512.31
2024,10,4,2145.07,1896.98
2024,4,2,78.96,77.63
2023,8,3,14759.73,16019.19
2023,7,3,279.95,213.94
2022,4,2,3097.2,2997.03
2023,7,3,45.42,45.43
2022,10,4,24.26,24.24
2024,7,3,1663.38,55.87
2024,11,4,49.29,768.3
2024,5,2,949.55,695.83
2023,1,1,189.49,215.96
2024,6,2,634.78,558.9
2024,9,3,52.97,1592.74
2022,12,4,48.69,48.69
2023,7,3,2187.53,1375.34
2023,9,3,1861.6,2117.88
2024,3,1,208.81,318.73
2022,11,4,10242.52,8425.32
2024,12,4,82.41,68.6
2023,6,2,48.8,544.76
2022,4,2,828.03,371.58
2023,10,4,73.03,63.86
2024,12,4,3076.68,2821.84
2023,2,1,189.47,176.76
2023,7,3,234.39,249.69
2024,11,4,63.44,63.76
2024,3,1,6349.79,7355.31
2022,12,4,242.73,646.91
2022,10,4,42.18,42.2
2023,12,4,46.46,46.49
2024,9,3,27.82,27.89
2023,9,3,4855.71,3914.91
2023,9,3,5820.95,6807.76
2022,9,3,65.59,65.59
2022,10,4,1530.2,1349.78
2022,6,2,12844.57,14209.85
2024,12,4,3658.76,3488.75
2023,12,4,3961.14,4261.34
2023,5,2,582.23,27.66
2022,12,4,404.55,706.6
2023,6,2,36.89,49.75
2022,6,2,42.18,55.22
2023,9,3,34.94,53.48
2023,1,1,1630.5,1590.25
2024,1,1,26.83,72.2
2022,11,4,10712.19,4554.7
